image_path,true_label,pred_label,confidence,correct
val/class_00/0_4011.jpg,0,44,0.3691,False
val/class_00/0_4038.jpg,0,45,0.3660,False
val/class_00/0_4004.jpg,0,44,0.3696,False
val/class_00/0_3970.jpg,0,44,0.3656,False
val/class_00/0_3966.jpg,0,45,0.3676,False
val/class_00/0_3972.jpg,0,45,0.3589,False
val/class_00/0_4012.jpg,0,45,0.3681,False
val/class_00/0_4006.jpg,0,45,0.3678,False
val/class_00/0_3998.jpg,0,45,0.3642,False
val/class_00/0_4013.jpg,0,44,0.3645,False
val/class_00/0_3973.jpg,0,45,0.3715,False
val/class_00/0_3967.jpg,0,44,0.3708,False
val/class_00/0_3963.jpg,0,44,0.3680,False
val/class_00/0_4003.jpg,0,45,0.3664,False
val/class_00/0_4002.jpg,0,44,0.3684,False
val/class_00/0_3962.jpg,0,44,0.3666,False
val/class_00/0_4028.jpg,0,45,0.3724,False
val/class_00/0_4000.jpg,0,44,0.3711,False
val/class_00/0_4015.jpg,0,44,0.3659,False
val/class_00/0_4001.jpg,0,45,0.3639,False
val/class_00/0_3961.jpg,0,45,0.3665,False
val/class_00/0_4112.jpg,0,44,0.3724,False
val/class_00/0_4106.jpg,0,44,0.3698,False
val/class_00/0_4072.jpg,0,45,0.3714,False
val/class_00/0_4073.jpg,0,44,0.3593,False
val/class_00/0_4098.jpg,0,45,0.3721,False
val/class_00/0_4111.jpg,0,44,0.3776,False
val/class_00/0_4065.jpg,0,44,0.3717,False
val/class_00/0_4059.jpg,0,45,0.3648,False
val/class_00/0_4058.jpg,0,45,0.3601,False
val/class_00/0_4070.jpg,0,44,0.3689,False
val/class_00/0_4104.jpg,0,45,0.3664,False
val/class_00/0_4100.jpg,0,45,0.3587,False
val/class_00/0_4048.jpg,0,45,0.3692,False
val/class_00/0_4061.jpg,0,45,0.3635,False
val/class_00/0_4075.jpg,0,45,0.3605,False
val/class_00/0_4103.jpg,0,45,0.3713,False
val/class_00/0_4063.jpg,0,44,0.3617,False
val/class_00/0_4076.jpg,0,44,0.3709,False
val/class_00/0_4062.jpg,0,44,0.3660,False
val/class_00/0_4090.jpg,0,44,0.3643,False
val/class_00/0_4053.jpg,0,45,0.3698,False
val/class_00/0_4052.jpg,0,45,0.3684,False
val/class_00/0_4091.jpg,0,44,0.3624,False
val/class_00/0_4085.jpg,0,45,0.3706,False
val/class_00/0_4093.jpg,0,44,0.3640,False
val/class_00/0_4087.jpg,0,44,0.3661,False
val/class_00/0_4079.jpg,0,45,0.3665,False
val/class_00/0_4045.jpg,0,44,0.3552,False
val/class_00/0_4086.jpg,0,45,0.3568,False
val/class_00/0_4109.jpg,0,44,0.3710,False
val/class_00/0_4069.jpg,0,44,0.3678,False
val/class_00/0_4041.jpg,0,44,0.3659,False
val/class_00/0_4054.jpg,0,45,0.3632,False
val/class_00/0_4068.jpg,0,45,0.4044,False
val/class_00/0_4108.jpg,0,45,0.3725,False
val/class_00/0_4081.jpg,0,45,0.3993,False
val/class_00/0_4042.jpg,0,45,0.3630,False
val/class_00/0_4043.jpg,0,44,0.3507,False
val/class_00/0_4094.jpg,0,45,0.3641,False
val/class_00/0_3944.jpg,0,44,0.3656,False
val/class_00/0_3978.jpg,0,44,0.3675,False
val/class_00/0_4024.jpg,0,45,0.3752,False
val/class_00/0_4030.jpg,0,45,0.3668,False
val/class_00/0_4019.jpg,0,45,0.3699,False
val/class_00/0_3986.jpg,0,45,0.3764,False
val/class_00/0_4031.jpg,0,45,0.3662,False
val/class_00/0_4025.jpg,0,44,0.3631,False
val/class_00/0_3945.jpg,0,44,0.3641,False
val/class_00/0_3984.jpg,0,45,0.4009,False
val/class_00/0_4027.jpg,0,44,0.3582,False
val/class_00/0_3990.jpg,0,45,0.3717,False
val/class_00/0_4026.jpg,0,45,0.3568,False
val/class_00/0_4032.jpg,0,44,0.3655,False
val/class_00/0_3946.jpg,0,44,0.3682,False
val/class_00/0_3956.jpg,0,45,0.3628,False
val/class_00/0_3981.jpg,0,44,0.3668,False
val/class_00/0_3995.jpg,0,44,0.3619,False
val/class_00/0_3980.jpg,0,44,0.3625,False
val/class_00/0_3955.jpg,0,45,0.3622,False
val/class_00/0_4009.jpg,0,45,0.3704,False
val/class_00/0_3996.jpg,0,45,0.3622,False
val/class_00/0_4035.jpg,0,45,0.3728,False
val/class_00/0_3982.jpg,0,44,0.3645,False
val/class_00/0_3983.jpg,0,45,0.3602,False
val/class_00/0_4034.jpg,0,45,0.3680,False
val/class_00/0_4020.jpg,0,44,0.3580,False
val/class_00/0_4008.jpg,0,45,0.3724,False
val/class_00/0_3971.JPG,0,44,0.3648,False
val/class_00/0_3965.JPG,0,45,0.3652,False
val/class_00/0_3959.JPG,0,44,0.3616,False
val/class_00/0_4005.JPG,0,45,0.3740,False
val/class_00/0_4039.JPG,0,44,0.3633,False
val/class_00/0_4010.JPG,0,44,0.3646,False
val/class_00/0_3958.JPG,0,44,0.3668,False
val/class_00/0_3964.JPG,0,45,0.3583,False
val/class_00/0_3999.JPG,0,45,0.3643,False
val/class_00/0_4007.JPG,0,44,0.3694,False
val/class_00/0_3977.JPG,0,44,0.3685,False
val/class_00/0_3988.JPG,0,44,0.3584,False
val/class_00/0_4017.JPG,0,45,0.3647,False
val/class_00/0_4016.JPG,0,45,0.3697,False
val/class_00/0_3989.JPG,0,45,0.3587,False
val/class_00/0_3976.JPG,0,44,0.3801,False
val/class_00/0_3948.JPG,0,44,0.3718,False
val/class_00/0_3974.JPG,0,45,0.3667,False
val/class_00/0_3960.JPG,0,45,0.3764,False
val/class_00/0_4014.JPG,0,44,0.3694,False
val/class_00/0_4029.JPG,0,44,0.3625,False
val/class_00/0_3975.JPG,0,44,0.3712,False
val/class_00/0_3949.JPG,0,44,0.3601,False
val/class_00/0_4099.JPG,0,44,0.3668,False
val/class_00/0_4066.JPG,0,44,0.3662,False
val/class_00/0_4067.JPG,0,44,0.3658,False
val/class_00/0_4107.JPG,0,45,0.3633,False
val/class_00/0_4105.JPG,0,44,0.3665,False
val/class_00/0_4071.JPG,0,44,0.3687,False
val/class_00/0_4064.JPG,0,45,0.3646,False
val/class_00/0_4110.JPG,0,45,0.3679,False
val/class_00/0_4074.JPG,0,44,0.3652,False
val/class_00/0_4060.JPG,0,44,0.3730,False
